,Unnamed: 0,address,owner,value,property_type,property_class,Num_Properties,total_value,link,prop_type_clean,owner_clean,exact_address,location,point
57274,57274,80 Washington Pl Unit P314,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175157,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P314 Madison, Wisconsin USA",,
57273,57273,80 Washington Pl Unit P313,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175149,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P313 Madison, Wisconsin USA",,
57285,57285,80 Washington Pl Unit P12,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156123,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P12 Madison, Wisconsin USA",,
57284,57284,80 Washington Pl Unit P11,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156115,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P11 Madison, Wisconsin USA",,
57298,57298,80 Washington Pl Unit P25,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156256,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P25 Madison, Wisconsin USA",,
57299,57299,80 Washington Pl Unit P26,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156264,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P26 Madison, Wisconsin USA",,
57292,57292,80 Washington Pl Unit P19,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156199,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P19 Madison, Wisconsin USA",,
57287,57287,80 Washington Pl Unit P14,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156149,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P14 Madison, Wisconsin USA",,
57288,57288,80 Washington Pl Unit P15,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156157,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P15 Madison, Wisconsin USA",,
57289,57289,80 Washington Pl Unit P16,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156165,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P16 Madison, Wisconsin USA",,
57291,57291,80 Washington Pl Unit P18,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156181,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P18 Madison, Wisconsin USA",,
57293,57293,80 Washington Pl Unit P20,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156206,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P20 Madison, Wisconsin USA",,
57294,57294,80 Washington Pl Unit P21,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156214,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P21 Madison, Wisconsin USA",,
57295,57295,80 Washington Pl Unit P22,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156222,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P22 Madison, Wisconsin USA",,
57290,57290,80 Washington Pl Unit P17,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156173,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P17 Madison, Wisconsin USA",,
57300,57300,80 Washington Pl Unit P27,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156272,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P27 Madison, Wisconsin USA",,
57283,57283,80 Washington Pl Unit P10,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156107,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P10 Madison, Wisconsin USA",,
57282,57282,80 Washington Pl Unit P9,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156090,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P9 Madison, Wisconsin USA",,
57281,57281,80 Washington Pl Unit P321,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175222,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P321 Madison, Wisconsin USA",,
57280,57280,80 Washington Pl Unit P320,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175214,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P320 Madison, Wisconsin USA",,
57279,57279,80 Washington Pl Unit P319,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175206,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P319 Madison, Wisconsin USA",,
57278,57278,80 Washington Pl Unit P318,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175199,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P318 Madison, Wisconsin USA",,
57296,57296,80 Washington Pl Unit P23,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156230,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P23 Madison, Wisconsin USA",,
57277,57277,80 Washington Pl Unit P317,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175181,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P317 Madison, Wisconsin USA",,
57297,57297,80 Washington Pl Unit P24,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156248,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P24 Madison, Wisconsin USA",,
57276,57276,80 Washington Pl Unit P316,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175173,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P316 Madison, Wisconsin USA",,
57301,57301,80 Washington Pl Unit P28,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156280,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P28 Madison, Wisconsin USA",,
57302,57302,80 Washington Pl Unit P29,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156298,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P29 Madison, Wisconsin USA",,
57275,57275,80 Washington Pl Unit P315,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175165,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P315 Madison, Wisconsin USA",,
57286,57286,80 Washington Pl Unit P13,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923156131,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P13 Madison, Wisconsin USA",,
57256,57256,80 Washington Pl Unit P296,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174969,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P296 Madison, Wisconsin USA",,
57272,57272,80 Washington Pl Unit P312,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923175131,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P312 Madison, Wisconsin USA",,
57199,57199,80 Washington Pl Unit P239,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174399,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P239 Madison, Wisconsin USA",,
57185,57185,80 Washington Pl Unit P225,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174258,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P225 Madison, Wisconsin USA",,
57186,57186,80 Washington Pl Unit P226,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174266,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P226 Madison, Wisconsin USA",,
57187,57187,80 Washington Pl Unit P227,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174274,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P227 Madison, Wisconsin USA",,
57188,57188,80 Washington Pl Unit P228,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174282,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P228 Madison, Wisconsin USA",,
57189,57189,80 Washington Pl Unit P229,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174290,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P229 Madison, Wisconsin USA",,
57190,57190,80 Washington Pl Unit P230,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174307,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P230 Madison, Wisconsin USA",,
57191,57191,80 Washington Pl Unit P231,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174315,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P231 Madison, Wisconsin USA",,
57192,57192,80 Washington Pl Unit P232,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174323,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P232 Madison, Wisconsin USA",,
57193,57193,80 Washington Pl Unit P233,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174331,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P233 Madison, Wisconsin USA",,
57194,57194,80 Washington Pl Unit P234,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174349,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P234 Madison, Wisconsin USA",,
57195,57195,80 Washington Pl Unit P235,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174357,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P235 Madison, Wisconsin USA",,
57196,57196,80 Washington Pl Unit P236,RLJ HP MADISON DT LLC  STE 1000,15000.0,Condominium ,Commercial,152,24836500.0,propertydata.cfm?ParcelN=070923174365,Apartment,RLJ HP MADISON DT LLC  STE 1000,"80 Washington Pl Unit P236 Madison, Wisconsin USA",,
